model,original_model_name,archive_source,model_used,task_id,dataset_name,n_classes,accuracy_mean,accuracy_ci_lower,accuracy_ci_upper,accuracy_std,accuracy_n_runs,balanced_accuracy_mean,balanced_accuracy_ci_lower,balanced_accuracy_ci_upper,balanced_accuracy_std,balanced_accuracy_n_runs,f1_macro_mean,f1_macro_ci_lower,f1_macro_ci_upper,f1_macro_std,f1_macro_n_runs,f1_micro_mean,f1_micro_ci_lower,f1_micro_ci_upper,f1_micro_std,f1_micro_n_runs,f1_weighted_mean,f1_weighted_ci_lower,f1_weighted_ci_upper,f1_weighted_std,f1_weighted_n_runs,precision_macro_mean,precision_macro_ci_lower,precision_macro_ci_upper,precision_macro_std,precision_macro_n_runs,recall_macro_mean,recall_macro_ci_lower,recall_macro_ci_upper,recall_macro_std,recall_macro_n_runs,roc_auc_mean,roc_auc_ci_lower,roc_auc_ci_upper,roc_auc_std,roc_auc_n_runs
tabllm_qwen,TabLLM,tabllm,Qwen/Qwen2.5-3B-Instruct,10093,banknote-authentication,2,0.57,,,0.0,1,0.527,,,0.0,1,0.411,,,0.0,1,0.57,,,0.0,1,0.438,,,0.0,1,0.779,,,0.0,1,0.527,,,0.0,1,0.636,,,0.0,1
tabllm_qwen,TabLLM,tabllm,Qwen/Qwen2.5-3B-Instruct,10101,blood-transfusion-service-center,2,0.42,,,0.0,1,0.415,,,0.0,1,0.391,,,0.0,1,0.42,,,0.0,1,0.458,,,0.0,1,0.437,,,0.0,1,0.415,,,0.0,1,0.587,,,0.0,1
tabllm_qwen,TabLLM,tabllm,Qwen/Qwen2.5-3B-Instruct,11,balance-scale,3,0.392,,,0.0,1,0.393,,,0.0,1,0.289,,,0.0,1,0.392,,,0.0,1,0.312,,,0.0,1,0.53,,,0.0,1,0.393,,,0.0,1,0.5,,,0.0,1
tabllm_qwen,TabLLM,tabllm,Qwen/Qwen2.5-3B-Instruct,12,mfeat-factors,10,0.12,,,0.0,1,0.123,,,0.0,1,0.0689,,,0.0,1,0.12,,,0.0,1,0.0708,,,0.0,1,0.0847,,,0.0,1,0.123,,,0.0,1,0.565,,,0.0,1
tabllm_qwen,TabLLM,tabllm,Qwen/Qwen2.5-3B-Instruct,125920,dresses-sales,2,0.5,,,0.0,1,0.454,,,0.0,1,0.426,,,0.0,1,0.5,,,0.0,1,0.459,,,0.0,1,0.435,,,0.0,1,0.454,,,0.0,1,0.465,,,0.0,1
tabllm_qwen,TabLLM,tabllm,Qwen/Qwen2.5-3B-Instruct,125922,texture,11,0.2,,,0.0,1,0.187,,,0.0,1,0.101,,,0.0,1,0.2,,,0.0,1,0.104,,,0.0,1,0.152,,,0.0,1,0.187,,,0.0,1,0.443,,,0.0,1
tabllm_qwen,TabLLM,tabllm,Qwen/Qwen2.5-3B-Instruct,14,mfeat-fourier,10,0.13,,,0.0,1,0.131,,,0.0,1,0.0597,,,0.0,1,0.13,,,0.0,1,0.0606,,,0.0,1,0.0493,,,0.0,1,0.131,,,0.0,1,0.569,,,0.0,1
tabllm_qwen,TabLLM,tabllm,Qwen/Qwen2.5-3B-Instruct,146195,connect-4,3,0.695,,,0.0,1,0.333,,,0.0,1,0.273,,,0.0,1,0.695,,,0.0,1,0.57,,,0.0,1,0.232,,,0.0,1,0.333,,,0.0,1,0.5,,,0.0,1
tabllm_qwen,TabLLM,tabllm,Qwen/Qwen2.5-3B-Instruct,146800,MiceProtein,8,0.175,,,0.0,1,0.186,,,0.0,1,0.15,,,0.0,1,0.175,,,0.0,1,0.154,,,0.0,1,0.33,,,0.0,1,0.186,,,0.0,1,0.5,,,0.0,1
tabllm_qwen,TabLLM,tabllm,Qwen/Qwen2.5-3B-Instruct,146817,steel-plates-fault,7,0.115,,,0.0,1,0.137,,,0.0,1,0.0295,,,0.0,1,0.115,,,0.0,1,0.0248,,,0.0,1,0.0165,,,0.0,1,0.137,,,0.0,1,0.5,,,0.0,1
tabllm_qwen,TabLLM,tabllm,Qwen/Qwen2.5-3B-Instruct,146819,climate-model-simulation-crashes,2,0.556,,,0.0,1,0.306,,,0.0,1,0.357,,,0.0,1,0.556,,,0.0,1,0.648,,,0.0,1,0.429,,,0.0,1,0.306,,,0.0,1,0.211,,,0.0,1
tabllm_qwen,TabLLM,tabllm,Qwen/Qwen2.5-3B-Instruct,146820,wilt,2,0.79,,,0.0,1,0.59,,,0.0,1,0.536,,,0.0,1,0.79,,,0.0,1,0.831,,,0.0,1,0.538,,,0.0,1,0.59,,,0.0,1,0.5,,,0.0,1
tabllm_qwen,TabLLM,tabllm,Qwen/Qwen2.5-3B-Instruct,146821,car,4,0.55,,,0.0,1,0.314,,,0.0,1,0.277,,,0.0,1,0.55,,,0.0,1,0.544,,,0.0,1,0.273,,,0.0,1,0.314,,,0.0,1,0.5,,,0.0,1
tabllm_qwen,TabLLM,tabllm,Qwen/Qwen2.5-3B-Instruct,146822,segment,7,0.165,,,0.0,1,0.135,,,0.0,1,0.0408,,,0.0,1,0.165,,,0.0,1,0.05,,,0.0,1,0.0241,,,0.0,1,0.135,,,0.0,1,0.5,,,0.0,1
tabllm_qwen,TabLLM,tabllm,Qwen/Qwen2.5-3B-Instruct,146824,mfeat-pixel,10,0.16,,,0.0,1,0.162,,,0.0,1,0.109,,,0.0,1,0.16,,,0.0,1,0.108,,,0.0,1,0.0923,,,0.0,1,0.162,,,0.0,1,0.61,,,0.0,1
tabllm_qwen,TabLLM,tabllm,Qwen/Qwen2.5-3B-Instruct,146825,Fashion-MNIST,10,0.055,,,0.0,1,0.0509,,,0.0,1,0.0527,,,0.0,1,0.055,,,0.0,1,0.0588,,,0.0,1,0.0808,,,0.0,1,0.0509,,,0.0,1,0.444,,,0.0,1
tabllm_qwen,TabLLM,tabllm,Qwen/Qwen2.5-3B-Instruct,14952,PhishingWebsites,2,0.565,,,0.0,1,0.5,,,0.0,1,0.361,,,0.0,1,0.565,,,0.0,1,0.408,,,0.0,1,0.282,,,0.0,1,0.5,,,0.0,1,0.379,,,0.0,1
tabllm_qwen,TabLLM,tabllm,Qwen/Qwen2.5-3B-Instruct,14954,cylinder-bands,2,0.463,,,0.0,1,0.517,,,0.0,1,0.344,,,0.0,1,0.463,,,0.0,1,0.313,,,0.0,1,0.726,,,0.0,1,0.517,,,0.0,1,0.5,,,0.0,1
tabllm_qwen,TabLLM,tabllm,Qwen/Qwen2.5-3B-Instruct,14965,bank-marketing,2,0.785,,,0.0,1,0.48,,,0.0,1,0.462,,,0.0,1,0.785,,,0.0,1,0.745,,,0.0,1,0.456,,,0.0,1,0.48,,,0.0,1,0.5,,,0.0,1
